#E EFF Epot Ekin Eint Eext
3.523335726728405e+00 2.753884216946029e+00 1.258308656266736e+00 2.265027070461669e+00 1.228918028680401e-01 1.135416853398695e+00
3.482163483090392e+00 2.999416680081306e+00 1.293855330784957e+00 2.188308152305435e+00 1.245296053173160e-01 1.169325725467640e+00
3.277168913286098e+00 3.109948997405992e+00 1.277861464893331e+00 1.999307448392767e+00 1.210537345556838e-01 1.156807730337647e+00
3.628417315086381e+00 3.027614191310965e+00 1.281158151493866e+00 2.347259163592514e+00 1.350309786917377e-01 1.146127172802129e+00
3.232474190766876e+00 3.410706419474811e+00 1.288570113622630e+00 1.943904077144246e+00 1.296622406462606e-01 1.158907872976369e+00
3.394408596377956e+00 2.888109146389702e+00 1.269560640384814e+00 2.124847955993142e+00 1.201972442250399e-01 1.149363396159774e+00
3.202055234428498e+00 3.466383655656168e+00 1.276057495998816e+00 1.925997738429682e+00 1.331384058829276e-01 1.142919090115889e+00
3.284690535965817e+00 3.449631320174388e+00 1.285266858973328e+00 1.999423676992488e+00 1.354527221307351e-01 1.149814136842594e+00
2.300902698146474e+00 5.485711491382586e+00 1.303443848935652e+00 9.974588492108218e-01 1.658516285091145e-01 1.137592220426538e+00
3.594612973737657e+00 3.034161841952234e+00 1.309188513753692e+00 2.285424459983965e+00 1.317903854945640e-01 1.177398128259128e+00
3.398122017374189e+00 2.812426366420891e+00 1.289127095643698e+00 2.108994921730491e+00 1.167989587468306e-01 1.172328136896868e+00
2.962804929410103e+00 3.971921155370271e+00 1.269622610069795e+00 1.693182319340308e+00 1.393804293697174e-01 1.130242180700078e+00
3.431883658393209e+00 3.300375219562498e+00 1.247755980301793e+00 2.184127678091416e+00 1.392045213459186e-01 1.108551458955875e+00
3.533733782925760e+00 3.057640640399703e+00 1.283496966172359e+00 2.250236816753401e+00 1.309635077399752e-01 1.152533458432383e+00
3.097844108602030e+00 3.757258338352429e+00 1.276253170798900e+00 1.821590937803130e+00 1.384115879019859e-01 1.137841582896915e+00
3.181143869034584e+00 3.300348765746196e+00 1.291972149121483e+00 1.889171719913101e+00 1.236608338204709e-01 1.168311315301011e+00
2.988054517701007e+00 3.724570191333406e+00 1.288622479277481e+00 1.699432038423526e+00 1.317034118003791e-01 1.156919067477103e+00
2.945004100643200e+00 3.713868786289611e+00 1.242644625799324e+00 1.702359474843877e+00 1.336495375740406e-01 1.108995088225283e+00
3.508298500084182e+00 3.266002431285933e+00 1.274140407410413e+00 2.234158092673769e+00 1.374184911017624e-01 1.136721916308650e+00
2.769357681764927e+00 3.930639210818450e+00 1.283720623841502e+00 1.485637057923424e+00 1.284057617339092e-01 1.155314862107592e+00
1.523197473302823e+00 5.552484973606602e+00 1.283088758590206e+00 2.401087147126163e-01 1.371492132019557e-01 1.145939545388250e+00
3.676104136562690e+00 2.924838673188848e+00 1.276552240044220e+00 2.399551896518470e+00 1.336304878916290e-01 1.142921752152591e+00
3.540269406808623e+00 3.018014536721188e+00 1.240372922060599e+00 2.299896484748023e+00 1.358708919479817e-01 1.104502030112617e+00
3.290804819652229e+00 3.445911676697388e+00 1.220378077570742e+00 2.070426742081488e+00 1.394668322804591e-01 1.080911245290282e+00
3.251767879997493e+00 3.115944752769604e+00 1.262510853543273e+00 1.989257026454220e+00 1.237905856472458e-01 1.138720267896028e+00
3.196403389044084e+00 3.122053124996474e+00 1.274514811385545e+00 1.921888577658539e+00 1.189822469949559e-01 1.155532564390588e+00
3.181412981835108e+00 3.269171938324556e+00 1.262259334431605e+00 1.919153647403504e+00 1.256305260152489e-01 1.136628808416356e+00
2.253234558166351e+00 5.000013205240863e+00 1.282153226766529e+00 9.710813313998221e-01 1.476461477385753e-01 1.134507079027954e+00
3.242162634161162e+00 3.737373137431057e+00 1.266862004453146e+00 1.975300629708016e+00 1.440529063467787e-01 1.122809098106367e+00
3.464688222179868e+00 2.654918268135885e+00 1.238657588718767e+00 2.226030633461101e+00 1.184155472867053e-01 1.120242041432061e+00
3.214616824792296e+00 3.271707885992966e+00 1.304863326169227e+00 1.909753498623069e+00 1.222057482365710e-01 1.182657577932655e+00
3.327768447567478e+00 3.822444347190304e+00 1.314424113228923e+00 2.013344334338554e+00 1.440819150766424e-01 1.170342198152282e+00
2.945137858927676e+00 3.714898877461000e+00 1.260971786976756e+00 1.684166071950920e+00 1.337586135124670e-01 1.127213173464289e+00
3.287901574226429e+00 3.575999241064395e+00 1.258761293340167e+00 2.029140280886262e+00 1.421210667508452e-01 1.116640226589322e+00
3.155138893331880e+00 3.740587353512781e+00 1.285079868722370e+00 1.870059024609510e+00 1.388451178385354e-01 1.146234750883835e+00
3.297216883313755e+00 2.975593372128989e+00 1.321977060334515e+00 1.975239822979241e+00 1.150590257887424e-01 1.206918034545772e+00
3.135561928331441e+00 3.491264224028074e+00 1.304874523240880e+00 1.830687405090561e+00 1.267817781883358e-01 1.178092745052544e+00
3.575667364759365e+00 2.561743183925943e+00 1.259279229990277e+00 2.316388134769088e+00 1.185469658986413e-01 1.140732264091637e+00
3.333051404663626e+00 3.328725161045226e+00 1.246550592607447e+00 2.086500812056179e+00 1.361532560176575e-01 1.110397336589790e+00
3.403131088547482e+00 3.230508747289717e+00 1.293604099987487e+00 2.109526988559995e+00 1.305648236809573e-01 1.163039276306530e+00
